38;ADONISES;ভেনাসের প্রণয়পাত্র সুদর্শন যুবাদিশেষ;null;null
39;ALCHEMIC;অপরাসায়নিক;Aparāsāẏanika;null
40;ACCOUTRING;সজ্জিত করা;Sajjita karā;null
41;AEROSTATION;বিমানশালা;Bimānaśālā;null
42;AFFLICTION;দু: খ;Du: Kha;null
43;ALAR;পক্ষসম্বন্ধীয়;Pakṣasambandhīẏa;null
44;ABORD;নৌরুটে;Nauruṭē;null
45;ABSOLUTENESS;নিরঙ্কুশ্তা;Niraṅkuśtā;null
46;ADMEASURING;ভরণপোষণ করা;Bharaṇapōṣaṇa karā;null
47;ABDICATING;ত্যাগ করা;Tyāga karā;null
48;ABOMINATES;ঘৃণায় পরিহার করা;Ghr̥ṇāẏa parihāra karā;null
49;ADOPTERS;গ্রহীতারা;Grahītārā;null
50;ADJUSTMENT;সমন্বয়;Samanbaẏa;null
51;AFFINES;পেজে সম্পর্কিত;Pējē samparkita;null
52;AEROLOGIC;বায়বীয়;Bāẏabīẏa;null
53;AIRFIELD;বিমানঘাঁটি;Bimānaghām̐ṭi;null
54;ACCOUCHEMENT;সন্তানপ্রসবার্থ পোয়াতির শয্যায় শয়ন;Santānaprasabārtha pōẏātira śayyāẏa śaẏana;null
55;ACQUITTAL;বেকসুর খালাস;Bēkasura khālāsa;["CONVICTION"]
56;AFFIXES;উপাঙ্গ;Upāṅga;null
57;AIRCRAFT;বিমান;Bimāna;null
58;AIGRETTES;বকপাখি;Bakapākhi;null
59;AIRIEST;বায়বীয়;Bāẏabīẏa;null
60;ABIDANCE;পালন;Pālana;["NONCONFORMITY"]
61;ACCRESCENT;ক্রমবদ্র্ধিত;Kramabadrdhita;null
62;ACQUITTANCE;প্রাপ্তিসূচক রসিদ;Prāptisūcaka rasida;null
63;AFFORDABLE;সাশ্রয়ী মূল্যের;Sāśraẏī mūlyēra;["PROHIBITIVE"]
64;AIRSPACE;আকাশসীমা;Ākāśasīmā;null
65;ABUZZ;সক্রিয়;Sakriẏa;null
66;ACQUIREMENT;লব্ধি;Labdhi;["LOSS"]
67;ACTUARIAL;বিমার;Bimāra;null
68;AFFLUENCE;সমৃদ্ধি;Samr̥d'dhi;["POVERTY"]
69;AILS;মিথ্যাচার;Mithyācāra;null
70;AIRWOMEN;নারী-বৈমানিক;null;null
71;ALAY;বলেই;Balē'i;null
72;ACTINIUM;তেজস্ক্রিয় মৌল;Tējaskriẏa maula;null
73;ACCOMPLISHER;মারা যায়;Mārā yāẏa;null
74;ADJUDGMENTS;দেত্তয়া;Dēttaẏā;null
75;ACADEMIAS;Académias;Académias;null
76;AFFRANCHISES;ক্রীতদাসত্ব হইতে মুক্তি দেত্তয়া;Krītadāsatba ha'itē mukti dēttaẏā;null
77;ABDUCTORS;অপহরণকারীরা;Apaharaṇakārīrā;null
78;ACKNOWLEDGEMENT;স্বীকৃতি;Sbīkr̥ti;null
79;AFFIRMATORY;সম্মতিসূচক;Sam'matisūcaka;["NEGATIVE"]
80;AFFLUENTS;নেতাকেই;Nētākē'i;["DISTRIBUTARY"]
81;AHEM;হুম;Huma;null
82;AIRCRAFTSMAN;বিমান - সৈনিক;Bimāna - sainika;null
83;ADVISED;উপদিষ্ট;Upadiṣṭa;["ILL-ADVISED"]
84;ACCOUNTING;হিসাবরক্ষণ;Hisābarakṣaṇa;null
85;ADAPTED;অভিযোজিত;Abhiyōjita;null
86;AEROMETERS;বায়ুমানযন্ত্র;Bāẏumānayantra;null
87;AFFILIATING;প্রদানে;Pradānē;null
88;AIDERS;চিকিত্সাকারী;Cikitsākārī;null
89;ABSORPTION;বিশোষণ;Biśōṣaṇa;["REJECTION"]
90;ACADEME;কথাবার্তা;Kathābārtā;null
91;ACCOLADE;প্রশংসা;Praśansā;null
92;AIDE;সহায়তাকারী;Sahāẏatākārī;null
93;AIRBASE;বিমানঘাণ্টি;Bimānaghāṇṭi;null
94;ALEXIN;রক্তের তরল অংশে উপস্থিত এক ধরনের জীবাণুধ্বংসী প্রোটিন;Raktēra tarala anśē upasthita ēka dharanēra jībāṇudhbansī prōṭina;null
95;ABJECTLY;শোচনীয়ভাবে;Śōcanīẏabhābē;null
96;ACQUAINTED;পরিচিত;Paricita;["UNFAMILIAR"]
97;ADHESIVE;আঠালো;Āṭhālō;null
98;ALGEBRAICAL;বীজগাণিতিক;Bījagāṇitika;null
99;ADVISE;উপদেশ;Upadēśa;null
100;AETIOLOGIES;পীড়ার নিদান;null;null
101;ADDRESSES;ঠিকানা;Ṭhikānā;null
102;ADMINISTRATES;শাসন করা;null;null
103;ADDLES;ঘোলা করা;Ghōlā karā;null
104;ACINAR;বর্তমান আমেরিকান;Bartamāna āmērikāna;null
105;ACRE;একর;Ēkara;null
106;AESTIVATION;মুকুলপত্রবিন্যাস;Mukulapatrabin'yāsa;null
107;AIDS;এইডস রোগ;Ē'iḍasa rōga;null
108;AHEAD;এগিয়ে;Ēgiẏē;["BACK","BACKWARD"]
109;ACQUAINT;পরিচিত করান;Paricita karāna;null
110;ALCOHOLIZES;সুরাসার মেশান;null;null
111;ACETYLATION;তিনটা প্রজাতির;Tinaṭā prajātira;null
112;ADDUCTIONS;বিবৃত;Bibr̥ta;null
113;ALERTEST;সতর্ক;Satarka;null
114;ALIENATION;উন্মত্ততা;Unmattatā;["CLOSENESS"]
115;ACADEMICIANS;শিক্ষাবিদ;Śikṣābida;null
116;ACCESSORY;আনুষঙ্গিক;Ānuṣaṅgika;null
117;ACHIEVING;অর্জন;Arjana;null
118;ACIDY;ঠক্ঠকিয়া;Ṭhakṭhakiẏā;null
119;ADVENTURING;ঝুঁকি লত্তয়া;null;null
120;ABERRANT;বিপথগামী;Bipathagāmī;["NORMAL"]
121;ACQUIT;বেকসুর খালাস দেওয়া;Bēkasura khālāsa dē'ōẏā;["CONVICT"]
122;ADENOVIRUSES;এডিনোভাইরাস;Ēḍinōbhā'irāsa;null
123;ADJUDGING;বিচারপূর্বক স্থির করা;null;null
124;AGGLOMERATION;স্তূপ;Stūpa;null
125;ABASE;হীন করা;Hīna karā;null
126;ADAPTOR;এডাপটার;Ēḍāpaṭāra;null
127;ALGORITHMIC;আলগোরিদিমিক;Ālagōridimika;["HEURISTIC"]
128;ABROGATING;ব্র্যাকের;Bryākēra;null
129;ACANTHUSES;বাসকগোত্রীয় বৃক্ষ;Bāsakagōtrīẏa br̥kṣa;null
130;ACONITES;কুচিলা;Kucilā;null
131;ADJUDGMENT;কারাদণ্ড;Kārādaṇḍa;null
132;ADULATORS;চাটুকার;Cāṭukāra;null
133;ALBERGHI;হোটেল;Hōṭēla;null
134;ALIBI;অন্যত্রস্থিতি;An'yatrasthiti;null
135;ABLATE;কেড়ে নেত্তয়া;Kēṛē nēttaẏā;null
136;ABOLISHING;বদলের;Badalēra;["ESTABLISH"]
137;ACCENT;স্বরাঘাত;Sbarāghāta;null
138;ACETYLENES;উজ্জ্বল শিখাযুক্ত বর্ণহীন গ্যাসবিশেষ;null;null
139;ACHROMATIC;অবার্ণ;Abārṇa;["CHROMATIC"]
140;AFTERLIVES;ভবিষ্যৎ জীবন;null;null
141;ALBERT;আলবার্ট;Ālabārṭa;null
142;ACTIONS;কর্ম;Karma;["INACTION","INACTIVENESS","INACTIVITY"]
143;AERATES;বাতান্বিত করা;null;null
144;ALIBIS;অপরাধের অনুষ্ঠানকালে অন্যত্র থাকার অজুহাতে রেহাই পাইবার দাবি;null;null
145;ABASER;সর্বাধিক সম্ভ্রান্ত যে সর্বাধিক;Sarbādhika sambhrānta yē sarbādhika;null
146;ABSTERSIONS;পরিষ্করণ;Pariṣkaraṇa;null
147;ACCLIMATIONS;আবহাত্তয়ায় অভ্যস্তকরণ;Ābahāttaẏāẏa abhyastakaraṇa;null
148;ACETYL;এসিটায়েল;Ēsiṭāẏēla;null
149;ADUMBRATE;অস্পষ্ট আভাস দেত্তয়া;Aspaṣṭa ābhāsa dēttaẏā;null
150;ADVANTAGEOUS;সুবিধাজনক;Subidhājanaka;["DISADVANTAGEOUS"]
151;ALDER;ভূর্জজাতীয় বৃক্ষবিশেষ;Bhūrjajātīẏa br̥kṣabiśēṣa;null
152;ABJURATION;শপথপূর্বক পরিত্যাগ;Śapathapūrbaka parityāga;null
153;ABSINTHS;বৃক্ষবিশেষ;Br̥kṣabiśēṣa;null
154;ACCELERATORS;বেগবর্ধক ব্যক্তি;null;null
155;ACQUAINTING;পরিচিত করান;Paricita karāna;null
156;ADOLESCENT;কিশোর;Kiśōra;["ADULT"]
157;ABEYANCES;স্থগিতাবস্থা;Sthagitābasthā;null
158;ABORAL;পরাঙ্মুখ;Parāṅmukha;["ORAL"]
159;ABUTS;abuts আনয়ন;Abuts ānaẏana;null
160;ACCOUNTANCIES;গণিতকবিদ্যা;Gaṇitakabidyā;null
161;ADMISSION;ভর্তি;Bharti;["EXCLUSION"]
162;ADMONISHMENTS;বিশেষভাবে উপদেশদান;null;null
163;ADUMBRATION;ছায়াপাত;Chāẏāpāta;null
164;AFTERNOON;বৈকাল;Baikāla;null
165;AGGLOMERATE;পিণ্ডীভূত;Piṇḍībhūta;null
166;ALIGNED;সারিবদ্ধ;Sāribad'dha;null
167;ACQUIRING;অর্জন;Arjana;null
168;ADHERES;দৃঢ় সংলগ্ন;Dr̥ṛha sanlagna;null
169;AFTERSWARMS;নির্মাণ বেড়েছে;Nirmāṇa bēṛēchē;null
170;AGGREGATOR;সংযোগকারী;Sanyōgakārī;null
171;AGONISING;পীড়াদায়ক;Pīṛādāẏaka;null
172;AGIN;অন্যভাবে;An'yabhābē;null
173;AGOROTH;জনসমাবেশ;null;null
174;AGONISTS;অ্যাগোনিস্ট;Ayāgōnisṭa;["ANTAGONIST"]
175;AGILITIES;দ্রুততা;Drutatā;null
176;AGITPROP;বিক্ষোভ;Bikṣōbha;null
177;ALARMS;এলার্ম;Ēlārma;null
178;ALIENIST;মনোচিকিত্সক;Manōcikitsaka;null
179;ABOLISHED;রহিত;Rahita;["ESTABLISH"]
180;ACCESSES;ব্যবহারের;Byabahārēra;null
181;ACCELERATION;ত্বরণ;Tbaraṇa;["DECELERATION"]
182;ACCREDITING;কৃতিত্ব আরোপ করা;Kr̥titba ārōpa karā;null
183;ACCURSED;অভিশপ্ত;Abhiśapta;null
184;ACIDIFICATIONS;অম্লীকরণ;Amlīkaraṇa;null
185;ACRONYM;অন্য শব্দের আদ্যক্ষর দ্বারা গঠিত শব্দ;An'ya śabdēra ādyakṣara dbārā gaṭhita śabda;null
186;ADAPTIVENESS;হঠাত্ বিষণ্ন;Haṭhāt biṣaṇna;null
187;ADMINS;প্রশাসক;Praśāsaka;null
188;ADOPTABLE;গ্রহণযোগ্য;Grahaṇayōgya;null
189;ADUMBRATING;অস্পষ্ট আভাস দেত্তয়া;Aspaṣṭa ābhāsa dēttaẏā;null
190;ADVENTITIOUS;আপতিক;Āpatika;null
191;AEROBIC;বায়ুজীবী;Bāẏujībī;["ANAEROBIC"]
192;AEROLITH;উল্কা;Ulkā;null
193;AFFIRMATIVELY;মাকড়সা;Mākaṛasā;["NEGATIVELY"]
194;AFFECTED;আক্রান্ত;Ākrānta;["UNAFFECTED","UNMOVED"]
195;AFFIANCING;বাগ্দান করা;Bāgdāna karā;null
196;ALARMISM;অকারণ আতঙ্কপ্রবণতা;Akāraṇa ātaṅkaprabaṇatā;null
197;ALARMING;ভীতিপ্রদ;Bhītiprada;null
198;AIRSHIP;আকাশযান;Ākāśayāna;null
199;ALBATROSSES;বৃহদাকার সামুদ্রি পক্ষিবিশেষ;Br̥hadākāra sāmudri pakṣibiśēṣa;null
200;AFFAIR;ব্যাপার;Byāpāra;null
201;AGIOTAGES;সহসা বাজার গরম;Sahasā bājāra garama;null
202;AEROLOGIES;আকাশতত্ত্ব;null;null
203;AIRMAIL;বিমানবাহিত ডাক;Bimānabāhita ḍāka;null
204;AFFINE;অ্যাফিন;Ayāphina;null
205;AGONIC;অকোণিক;Akōṇika;null
206;ABEYANCE;স্থগিতাবস্থা;Sthagitābasthā;["CONTINUANCE"]
207;ABJURES;শপথপূর্বক পরিত্যাগ করা;Śapathapūrbaka parityāga karā;null
208;ACCESSION;সংযোজন;Sanyōjana;null
209;ACCRETION;পরিবৃদ্ধি;Paribr̥d'dhi;["EROSION"]
210;ACCULTURATED;শিল্পী তপন;Śilpī tapana;null
211;ACKNOWLEDGES;স্বীকার;Sbīkāra;["DENY"]
212;ADMONISHMENT;বকুনি;Bakuni;null
213;ADVANCE;আগাম;Āgāma;["BACK","DEMOTE","FALL BACK","RECEDE","REGRESS"]
214;ADVANTAGING;সুবিধা দেত্তয়া;null;null
215;ADVENTURISM;রাজনৈতিক হঠকারিতা;Rājanaitika haṭhakāritā;null
216;ADVERBIAL;ক্রিয়া - বিশেষণিক;Kriẏā - biśēṣaṇika;null
217;ACTUALIZE;বাস্তবে পরিণত করা;Bāstabē pariṇata karā;null
218;AFFILIATED;সম্বদ্ধ;Sambad'dha;["RIVAL"]
219;AEROLOGY;শূন্যবিজ্ঞান;Śūn'yabijñāna;null
220;AEROSPACE;মহাকাশ;Mahākāśa;null
221;AESTHETICS;নন্দনতত্ব;Nandanatatba;null
222;AFFORESTATION;বৃক্ষরোপণ;Br̥kṣarōpaṇa;null
223;ALARUMS;ঘণ্টাধ্বনি;Ghaṇṭādhbani;null
224;ALASKA;অল্যাস্কা;null;null
225;ALARM;শঙ্কা;Śaṅkā;null
226;ALAS;হায়রে;Hāẏarē;["FORTUNATELY","LUCKILY"]
227;AIRING;বায়ুসেবন;Bāẏusēbana;null
228;AKKAS;ইউটিউব;I'uṭi'uba;null
229;ALARUM;ঘণ্টাধ্বনি;Ghaṇṭādhbani;null
230;AIRINGS;বায়ুসেবন;Bāẏusēbana;null
231;AHISTORICAL;দেবতার অস্তিত্ব;Dēbatāra astitba;["HISTORICAL"]
232;AIRBUS;এয়ারবাস;Ēẏārabāsa;null
233;ALACK;অহো;Ahō;null
234;AFFIX;বর্ধন;Bardhana;null
235;AIRBORNE;বায়ুবাহিত;Bāẏubāhita;null
236;AIRWORTHINESS;নভোযোগ্যতা;Nabhōyōgyatā;null
237;AGITATE;উমান;Umāna;["CALM"]
238;AEROMETER;বায়ুমানযন্ত্র;Bāẏumānayantra;null
239;AIMS;লক্ষ্য;Lakṣya;null
240;AESTHETICIANS;সৌন্দর্যবেত্তা;Saundaryabēttā;null
241;AGONIZE;পীড়ন করা;Pīṛana karā;null
242;ALIGN;শ্রেণীবদ্ধ করা;Śrēṇībad'dha karā;["SKEW"]
243;AGGRANDISE;শক্তি, সম্পদ, সম্মান বৃদ্ধি করা;Śakti, sampada, sam'māna br̥d'dhi karā;null
244;ALBA;অ্যালবাম;Ayālabāma;null
245;ABASH;কুণ্ঠিত করা;Kuṇṭhita karā;null
246;ABDICATES;ত্যাগ করা;Tyāga karā;null
247;ABIOTIC;জীবক্রিয়া;Jībakriẏā;null
248;ABJECTNESS;দুর্দশাকে;Durdaśākē;null
249;ABHOR;ঘৃণাসহকারে পরিহার;Ghr̥ṇāsahakārē parihāra;["ADORE"]
250;ABROAD;বিদেশে;Bidēśē;null
251;ABSENTING;জাদু;Jādu;["PRESENT"]
252;ABROGATED;রহিত;Rahita;null
253;ABRUPTNESS;আকস্মিকতা;Ākasmikatā;["GRADUALNESS"]
254;ABACI;গণনা-যন্ত্রবিশেষ;null;null
255;ABSORPTIONS;মাতন;null;null
256;ABUT;ঘেঁষা;Ghēm̐ṣā;null
257;ABSOLUTIZES;লাহিড়ী;Lāhiṛī;null
258;ABSURDEST;কিম্ভুতকিমাকার;null;null
259;ACCELEROMETER;অ্যাকসিলরোমিটারটির;Ayākasilarōmiṭāraṭira;null
260;ACCESSORIES;জিনিসপত্র;Jinisapatra;null
261;ACCEDES;গদিলাভ করা;null;["DISSENT"]
262;ACCUMULATOR;সঁচায়ক;Sam̐cāẏaka;null
263;ACCUSE;অভিযুক্ত করা;Abhiyukta karā;null
264;ACHING;ধরা;Dharā;null
265;ACCUMULATION;আহরণ;Āharaṇa;null
266;ACROPHOBIA;উচ্চতা সম্পর্কে ভীষণ ভীতি;Uccatā samparkē bhīṣaṇa bhīti;null
267;ACRONYMS;আদ্যক্ষরসমস্টি;Ādyakṣarasamasṭi;null
268;ACROBATICS;দড়াবাজি;Daṛābāji;null
269;ADDLE;ঘোলা;Ghōlā;null
270;ADJUSTABLE;নিয়মিত;Niẏamita;["FIXED"]
271;ACTIVITY;কার্যকলাপ;Kāryakalāpa;["INACTION","INACTIVENESS","INACTIVITY"]
272;ADJUSTERS;ফিটার;Phiṭāra;null
273;ADVERBS;ক্রিয়াবিশেষণ;Kriẏābiśēṣaṇa;null
274;AERIAL;বায়বীয়;Bāẏabīẏa;null
275;ACUPUNCTURES;চিকিত্সার্থে মানবদেহের কলাসমূহ সূক্ষ্ম সুচি দ্বারা বিদ্ধকরণ;null;null
276;ADDITIVE;যোজনীয়;Yōjanīẏa;["NONLINEAR","SUBTRACTIVE"]
277;AFFIRMATION;কথন;Kathana;["REVERSAL"]
278;AFFLATUS;প্রেরণা;Prēraṇā;null
279;AEROGRAPHY;আবহবিদ্যা;Ābahabidyā;null
280;AGROFORESTRY;অ্যাগ্রোফরেষ্ট্রী;Ayāgrōpharēṣṭrī;null
281;AKIN;সদৃশ;Sadr̥śa;null
282;AIRMEN;বৈমানিক;Baimānika;null
283;AGUED;কম্পগ্রস্ত;Kampagrasta;null
284;AIRBASES;বিমানঘাণ্টি;Bimānaghāṇṭi;null
285;AIRMAILS;বিমানবাহিত ডাক;Bimānabāhita ḍāka;null
286;AIMING;নিশানা;Niśānā;null
287;AGORAE;জনসমাবেশ;null;null
288;AGRARIAN;ভূস্বামী;Bhūsbāmī;null
289;AFFORD;সামর্থ্য;Sāmarthya;null
290;AGENCIES;সংস্থার;Sansthāra;null
291;ALCOHOLIZED;সুরাসার মেশান;null;null
292;ABATES;কমান;Kamāna;null
293;ABNORMALITY;অস্বাভাবিকতা;Asbābhābikatā;["NORMALITY"]
294;ABOLITION;রদ;Rada;["ESTABLISHMENT"]
295;ABSOLVER;ক্ষমাশীল;Kṣamāśīla;null
296;ACCESSIBILITY;অভিগম্যতা;Abhigamyatā;["INACCESSIBILITY"]
297;ACCOST;মধ্যে সন্দেহ;Madhyē sandēha;null
298;ACCOUTRED;সজ্জিত করা;Sajjita karā;null
299;ACCUMULATES;সংগ্রহ করা;Saṅgraha karā;null
300;ACRIMONIES;মেজাজ আচরণ ভাষা প্রভৃতির রুক্ষতা;null;null
301;ACROPOLIS;গ্রীসের নগরদুর্গ;Grīsēra nagaradurga;null
302;ADJUDICATOR;ন্যায়নির্ণায়ক;N'yāẏanirṇāẏaka;null
303;ADMINISTERING;প্রতিপালন করা;null;null
304;ADULTHOODS;সাবালকত্ব;Sābālakatba;null
305;ADORING;প্রেমপূর্ণ;Prēmapūrṇa;["DISAPPROVING"]
306;ADROITNESS;কলা;Kalā;["CLUMSINESS"]
307;AEROSOLS;অ্যারোসল;Ayārōsala;null
308;AFFIRMED;দৃঢ়তাসহকারে চলা;null;null
309;AFFINED;সম্বদ্ধ;Sambad'dha;null
310;AESTHETE;কলাবিদ্যবিশারদ;Kalābidyabiśārada;null
311;AFAR;দূরবর্তী স্থান;Dūrabartī sthāna;["NEARBY"]
312;AFFIRMS;ঘোষণা;Ghōṣaṇā;["NEGATE"]
313;AERODROMES;এরোড্রোমগুলোর;Ērōḍrōmagulōra;null
314;ABLUTION;ডুব;Ḍuba;["DIRTYING"]
315;ABLATED;কেড়ে নেত্তয়া;Kēṛē nēttaẏā;null
316;ABLAZE;বহ্নিমান;Bahnimāna;null
317;ACCENTUATE;উচ্চারণ করা;Uccāraṇa karā;["PLAY DOWN"]
318;ACCENTED;প্রস্বরিত;Prasbarita;["ATONIC","UNSTRESSED"]
319;ACCOMMODATING;অমায়িক;Amāẏika;["UNACCOMMODATING"]
320;ACCOUNTINGS;সমাবেশে;Samābēśē;null
321;ACREAGES;মোট ভূসম্পত্তির পরিমাণ;null;null
322;ACTIVATION;সক্রিয়করণ;Sakriẏakaraṇa;["DEACTIVATION"]
323;ADMIRATION;তারিফ;Tāripha;["DISAPPROVAL"]
324;ADOWN;তলার দিকে;Talāra dikē;null
325;ADULTERATING;ভেজাল;Bhējāla;["PURIFYING"]
326;AERATORS;এয়ারেটর;Ēẏārēṭara;null
327;ADAPTS;আত্তীকরণ;Āttīkaraṇa;null
328;AFFLICTING;আক্রান্ত;Ākrānta;null
329;AFFIRMATIONS;কথন;Kathana;["REVERSAL"]
330;AESIR;এইসার;Ē'isāra;null
331;AFFECTIONS;স্নেহ;Snēha;null
332;AFFIRMATIVES;হাঁ-সূচক বাক্য;null;["NEGATIVE"]
333;AIRFLOWS;আহসান হাবিব;Āhasāna hābiba;null
334;AGUES;কম্পজ্বর;Kampajbara;null
335;AKIMBO;পাছায় দুই হাত দিয়া;Pāchāẏa du'i hāta diẏā;null
336;AIL;কষ্ট দেত্তয়া;Kaṣṭa dēttaẏā;null
337;AFFILIATE;শাখা;Śākhā;null
338;AH;অই;A'i;null
339;AESTHETICISM;সৌন্দর্যানুরাগ;Saundaryānurāga;null
340;AFFECTION;স্নেহ;Snēha;["DISLIKE"]
341;AFFLICT;হীন করা;Hīna karā;null
342;ALGEBRAIC;বীজগাণিতিক;Bījagāṇitika;null
343;AFFORESTED;বনাঞ্চল;Banāñcala;null
344;ABECEDARIAN;প্রাথমিক;Prāthamika;null
345;ABBOT;মঠাধ্যক্ষ;Maṭhādhyakṣa;null
346;ABBACY;মঠাধ্যক্ষের এলাকা;Maṭhādhyakṣēra ēlākā;null
347;ABDOMEN;পেট;Pēṭa;null
348;ABLAUT;অপশ্রুতি;Apaśruti;null
349;ABOLISHMENT;রদ;Rada;null
350;ABRADE;ঘষা;Ghaṣā;["SMOOTH"]
351;ABSCONDER;আত্মগোপনকারী;Ātmagōpanakārī;null
352;ABSORBS;শোষণ;Śōṣaṇa;["EMIT"]
353;ACCLAIMS;উচ্চরবে প্রশংসা করা;null;["BOO"]
354;ACCEPTANCE;স্বীকৃতি;Sbīkr̥ti;["REJECTION"]
355;ACROPHOBIAS;উচ্চতা সম্পর্কে ভীষণ আতঙক;null;null
356;ADJACENCES;আনন্তর্য;Ānantarya;null
357;ADULATIONS;তোষামোদ;Tōṣāmōda;null
358;AFFIDAVITS;শপথ;Śapatha;null
359;AFFECTIVE;আবেগপূর্ণ;Ābēgapūrṇa;null
360;AFFOREST;বনে পরিণত করা;Banē pariṇata karā;null
361;AERONAUTIC;বৈমানিক;Baimānika;null
362;AKA;ওরফে;Ōraphē;null
363;AIRWORTHY;নভোযোগ্য;Nabhōyōgya;null
364;AIGUILLE;শৃঙ্গ;Śr̥ṅga;null
365;AIRPORT;বিমানবন্দর;Bimānabandara;null
366;ALBEIT;যদ্যপি;Yadyapi;null
367;AIRLINE;এয়ারলাইন;Ēẏāralā'ina;null
368;AIMLESS;উদ্দেশ্যহীন;Uddēśyahīna;["PURPOSEFUL"]
369;AIRHEAD;মুখই হাঁড়ির;Mukha'i hām̐ṛira;null
370;AFFECTS;প্রভাবিত করে;Prabhābita karē;null
371;AGING;পক্বতা;Pakbatā;null
372;AGNATES;সময় দেখা যায়,;Samaẏa dēkhā yāẏa,;null
373;AGRICULTURISTS;কৃষিবিদ্;Kr̥ṣibid;null
374;AIRPORTS;বিমানবন্দর;Bimānabandara;null
375;AEROSTATICS;নভশ্চারণবিদ্যা;Nabhaścāraṇabidyā;null
376;AFFIXING;নোটিস দেওয়া;Nōṭisa dē'ōẏā;null
377;AGILA;ágila;Ágila;null
378;AEROPLANES;এ্যারোপ্লেনের;Ēyārōplēnēra;null
379;AGGLUTINATING;আঠা দ্বারা জোড়া দেত্তয়া;null;null
380;AL;আল;Āla;null
381;ALDERMAN;গর্ভনর;Garbhanara;null
382;ABANDONMENTS;বিসর্জন;Bisarjana;null
383;ABBREVIATES;ছোট করা;null;["EXPAND"]
384;ABETTER;কুকর্মে সাহায্যকারী;Kukarmē sāhāyyakārī;null
385;ABETTING;পোষক;Pōṣaka;null
386;ABLATING;কেড়ে নেত্তয়া;Kēṛē nēttaẏā;null
387;ABSOLVE;মুক্তিদান করা;Muktidāna karā;["BLAME"]
388;ABYSMS;অতলতা;null;null
389;ABUTTED;সমসীমাযুক্ত হত্তয়া;null;null
390;ABSTEMIOUSNESS;নিয়তাহর;Niẏatāhara;["EXCESS"]
391;ABSOLUTIONS;হেতুপ্রদর্শন;null;null
392;ACCURST;দুর্ভাগা;Durbhāgā;null
393;ACCUSALS;অভিযোগ;Abhiyōga;null
394;ACCUSTOM;অভ্যস্ত করা;Abhyasta karā;null
395;ACQUITTING;বেকসুর খালাস দেত্তয়া;null;null
396;ACT;আইন;Ā'ina;["REFRAIN"]
397;ACTUALISING;চাদর আসবে;Cādara āsabē;null
398;ADJUNCTS;যোজন;Yōjana;null
399;ACTIVE;সক্রিয়;Sakriẏa;["DORMANT","EXTINCT","INACTIVE","PASSIVE","QUIET","STATIVE","CONTEMPLATIVE"]
400;ADO;ঝামেলা;Jhāmēlā;null
401;ACTUAL;আসল;Āsala;["POTENTIAL"]
